Publicly confirmed as deceased as of 5pm this day,Date published by DHSC,UK Cumulative count of deaths in all settings (revised),UK Daily count of deaths in all settings (revised),UK Cumulative count of deaths in all settings,UK Daily count of deaths in all settings
05-Mar-20,06-Mar-20,1,1,1,1
06-Mar-20,07-Mar-20,2,1,2,1
07-Mar-20,08-Mar-20,2,0,2,0
08-Mar-20,09-Mar-20,3,1,3,1
09-Mar-20,10-Mar-20,7,4,7,4
10-Mar-20,11-Mar-20,7,0,7,0
11-Mar-20,12-Mar-20,9,2,9,2
12-Mar-20,13-Mar-20,10,1,10,1
13-Mar-20,14-Mar-20,28,18,28,18
14-Mar-20,15-Mar-20,43,15,43,15
15-Mar-20,16-Mar-20,65,22,65,22
16-Mar-20,17-Mar-20,81,16,81,16
17-Mar-20,18-Mar-20,115,34,115,34
18-Mar-20,19-Mar-20,158,43,158,43
19-Mar-20,20-Mar-20,194,36,194,36
20-Mar-20,21-Mar-20,250,56,250,56
21-Mar-20,22-Mar-20,285,35,285,35
22-Mar-20,23-Mar-20,359,74,359,74
23-Mar-20,24-Mar-20,508,149,508,149
24-Mar-20,25-Mar-20,694,186,694,186
25-Mar-20,26-Mar-20,877,183,877,183
26-Mar-20,27-Mar-20,1161,284,1161,284
27-Mar-20,28-Mar-20,1455,294,1455,294
28-Mar-20,29-Mar-20,1669,214,1669,214
29-Mar-20,30-Mar-20,2043,374,2043,374
30-Mar-20,31-Mar-20,2425,382,2425,382
31-Mar-20,01-Apr-20,3095,670,3095,670
01-Apr-20,02-Apr-20,3747,652,3747,652
02-Apr-20,03-Apr-20,4461,714,4461,714
03-Apr-20,04-Apr-20,5221,760,5221,760
04-Apr-20,05-Apr-20,5865,644,5865,644
05-Apr-20,06-Apr-20,6433,568,6433,568
06-Apr-20,07-Apr-20,7471,1038,7471,1038
07-Apr-20,08-Apr-20,8505,1034,8505,1034
08-Apr-20,09-Apr-20,9608,1103,9608,1103
09-Apr-20,10-Apr-20,10760,1152,10760,1152
10-Apr-20,11-Apr-20,11599,839,11599,839
11-Apr-20,12-Apr-20,12285,686,12285,686
12-Apr-20,13-Apr-20,13029,744,13029,744
13-Apr-20,14-Apr-20,14073,1044,14073,1044
14-Apr-20,15-Apr-20,14915,842,14915,842
15-Apr-20,16-Apr-20,15944,1029,15944,1029
16-Apr-20,17-Apr-20,16879,935,16879,935
17-Apr-20,18-Apr-20,17994,1115,17994,1115
18-Apr-20,19-Apr-20,18492,498,18492,498
19-Apr-20,20-Apr-20,19051,559,19051,559
20-Apr-20,21-Apr-20,20223,1172,20223,1172
21-Apr-20,22-Apr-20,21060,837,21060,837
22-Apr-20,23-Apr-20,21787,727,21787,727
23-Apr-20,24-Apr-20,22792,1005,22792,1005
24-Apr-20,25-Apr-20,23635,843,23635,843
25-Apr-20,26-Apr-20,24055,420,24055,420
26-Apr-20,27-Apr-20,24393,338,24393,338
27-Apr-20,28-Apr-20,25302,909,25302,909
28-Apr-20,29-Apr-20,26097,765,26097,765
29-Apr-20,30-Apr-20,26771,674,26771,674
30-Apr-20,01-May-20,27510,739,27510,739
01-May-20,02-May-20,28131,621,28131,621
02-May-20,03-May-20,28446,315,28446,315
03-May-20,04-May-20,28734,288,28734,288
04-May-20,05-May-20,29427,693,29427,693
05-May-20,06-May-20,30076,649,30076,649
06-May-20,07-May-20,30615,539,30615,539
07-May-20,08-May-20,31241,626,31241,626
08-May-20,09-May-20,31587,346,31587,346
09-May-20,10-May-20,31855,269,31855,269
10-May-20,11-May-20,32065,210,32065,210
11-May-20,12-May-20,32692,627,32692,627
12-May-20,13-May-20,33186,494,33186,494
13-May-20,14-May-20,33614,428,33614,428
14-May-20,15-May-20,33998,384,33998,384
15-May-20,16-May-20,34466,468,34466,468
16-May-20,17-May-20,34636,170,34636,170
17-May-20,18-May-20,34796,160,34796,160
18-May-20,19-May-20,35341,545,35341,545
19-May-20,20-May-20,35704,363,35704,363
20-May-20,21-May-20,36042,338,36042,338
21-May-20,22-May-20,36393,351,36393,351
22-May-20,23-May-20,36675,282,36675,282
23-May-20,24-May-20,37116,441,36793,118
24-May-20,25-May-20,37237,121,36914,121
25-May-20,26-May-20,37373,136,37048,134
26-May-20,27-May-20,37807,434,37460,412
27-May-20,28-May-20,38220,413,37837,377
28-May-20,29-May-20,38593,373,38161,324
29-May-20,30-May-20,38819,226,38376,215
30-May-20,31-May-20,38934,115,38489,113
31-May-20,01-Jun-20,39045,111,,
01-Jun-20,02-Jun-20,39369,324,,
02-Jun-20,03-Jun-20,39728,359,,
03-Jun-20,04-Jun-20,39904,176,,
04-Jun-20,05-Jun-20,40261,357,,
05-Jun-20,06-Jun-20,40465,204,,
06-Jun-20,07-Jun-20,40542,77,,
07-Jun-20,08-Jun-20,40597,55,,
08-Jun-20,09-Jun-20,40883,286,,
09-Jun-20,10-Jun-20,41128,245,,
10-Jun-20,11-Jun-20,41279,151,,
11-Jun-20,12-Jun-20,41481,202,,
12-Jun-20,13-Jun-20,41662,181,,
